RegionName,Date,HomePrice
Santa Cruz County,2000-07-31,304805.53961003566
Marin County,2000-07-31,474365.553532644
Butte County,2000-07-31,
Yolo County,2000-07-31,183023.6520823789
El Dorado County,2000-07-31,217604.2069055696
Shasta County,2000-07-31,106608.00363016974
Imperial County,2000-07-31,
Madera County,2000-07-31,
Kings County,2000-07-31,
Napa County,2000-07-31,251736.10987856405
Humboldt County,2000-07-31,
Nevada County,2000-07-31,
Sutter County,2000-07-31,
Mendocino County,2000-07-31,
Yuba County,2000-07-31,
Lake County,2000-07-31,
Tehama County,2000-07-31,
San Benito County,2000-07-31,
Tuolumne County,2000-07-31,
Calaveras County,2000-07-31,
Siskiyou County,2000-07-31,
Amador County,2000-07-31,
Lassen County,2000-07-31,
Glenn County,2000-07-31,
Del Norte County,2000-07-31,
Colusa County,2000-07-31,
Plumas County,2000-07-31,
Inyo County,2000-07-31,
Mariposa County,2000-07-31,
Trinity County,2000-07-31,
Mono County,2000-07-31,
Modoc County,2000-07-31,
Sierra County,2000-07-31,
Alpine County,2000-07-31,
Los Angeles County,2000-08-31,223015.52927204885
San Diego County,2000-08-31,234113.8193967945
Orange County,2000-08-31,278717.0367205857
Riverside County,2000-08-31,161833.00785227618
San Bernardino County,2000-08-31,134436.2078790783
Santa Clara County,2000-08-31,451777.5046434603
Alameda County,2000-08-31,312760.3436430365
Sacramento County,2000-08-31,155294.94028042513
Contra Costa County,2000-08-31,300070.7111534371
Fresno County,2000-08-31,109512.60886142652
Kern County,2000-08-31,96576.12480797392
San Francisco County,2000-08-31,430772.9030363134
Ventura County,2000-08-31,275893.8385014432
San Joaquin County,2000-08-31,167292.04637353087
San Mateo County,2000-08-31,473619.3473517825
Stanislaus County,2000-08-31,151309.16478565245
Sonoma County,2000-08-31,275452.0419963205
Tulare County,2000-08-31,104834.49019767856
Solano County,2000-08-31,210281.24501895005
Santa Barbara County,2000-08-31,254253.38013764992
Monterey County,2000-08-31,268852.72731267376
Placer County,2000-08-31,251210.0443186944
San Luis Obispo County,2000-08-31,212681.70141201816
Merced County,2000-08-31,
Santa Cruz County,2000-08-31,311027.40712885273
Marin County,2000-08-31,483196.4939116266
Butte County,2000-08-31,
Yolo County,2000-08-31,185494.96122203505
El Dorado County,2000-08-31,219048.0046515755
Shasta County,2000-08-31,107440.85636726818
Imperial County,2000-08-31,
Madera County,2000-08-31,
Kings County,2000-08-31,
Napa County,2000-08-31,256551.203314072
Humboldt County,2000-08-31,
Nevada County,2000-08-31,
Sutter County,2000-08-31,
Mendocino County,2000-08-31,
Yuba County,2000-08-31,
Lake County,2000-08-31,
Tehama County,2000-08-31,
San Benito County,2000-08-31,
Tuolumne County,2000-08-31,
Calaveras County,2000-08-31,
Siskiyou County,2000-08-31,
Amador County,2000-08-31,
Lassen County,2000-08-31,
Glenn County,2000-08-31,
Del Norte County,2000-08-31,
Colusa County,2000-08-31,
Plumas County,2000-08-31,
Inyo County,2000-08-31,
Mariposa County,2000-08-31,
Trinity County,2000-08-31,
Mono County,2000-08-31,
Modoc County,2000-08-31,
Sierra County,2000-08-31,
Alpine County,2000-08-31,
Los Angeles County,2000-09-30,225083.52413072076
San Diego County,2000-09-30,237959.04000934865
Orange County,2000-09-30,281750.78049511154
Riverside County,2000-09-30,163774.4153039489
San Bernardino County,2000-09-30,135263.44053691917
Santa Clara County,2000-09-30,462858.6765816324
Alameda County,2000-09-30,319577.65290468687
Sacramento County,2000-09-30,157194.9740978046
Contra Costa County,2000-09-30,305067.7329966758
Fresno County,2000-09-30,110132.93566496206
Kern County,2000-09-30,97074.5481981079
San Francisco County,2000-09-30,439154.4870783687
Ventura County,2000-09-30,279164.4576164827
San Joaquin County,2000-09-30,170622.43937755175
San Mateo County,2000-09-30,481846.5417675105
Stanislaus County,2000-09-30,153284.53068419604
Sonoma County,2000-09-30,281289.0041924742
Tulare County,2000-09-30,105225.41853083365
Solano County,2000-09-30,214381.147967627
Santa Barbara County,2000-09-30,257118.9973409036
Monterey County,2000-09-30,274258.9918166291
Placer County,2000-09-30,255653.41392103257
San Luis Obispo County,2000-09-30,216681.17026108
Merced County,2000-09-30,
Santa Cruz County,2000-09-30,317569.2831327288
Marin County,2000-09-30,491565.6109014605
Butte County,2000-09-30,
Yolo County,2000-09-30,187982.0884673903
El Dorado County,2000-09-30,221712.46982379784
Shasta County,2000-09-30,108284.5707736244
Imperial County,2000-09-30,
Madera County,2000-09-30,
Kings County,2000-09-30,
Napa County,2000-09-30,261443.68910228892
Humboldt County,2000-09-30,
Nevada County,2000-09-30,
Sutter County,2000-09-30,
Mendocino County,2000-09-30,
Yuba County,2000-09-30,
Lake County,2000-09-30,
Tehama County,2000-09-30,
San Benito County,2000-09-30,
Tuolumne County,2000-09-30,
Calaveras County,2000-09-30,
Siskiyou County,2000-09-30,
Amador County,2000-09-30,
Lassen County,2000-09-30,
Glenn County,2000-09-30,
Del Norte County,2000-09-30,
Colusa County,2000-09-30,
Plumas County,2000-09-30,
